SSX2,Cancer Gene Census
SSX4,Cancer Gene Census
STAT3,Cancer Gene Census
STAT5B,Cancer Gene Census
SUFU,Cancer Gene Census
SUZ12,Cancer Gene Census
SYK,Cancer Gene Census
TAF15,Cancer Gene Census
TAL1,Cancer Gene Census
TAL2,Cancer Gene Census
TBL1XR1,Cancer Gene Census
TCEA1,Cancer Gene Census
TCF12,Cancer Gene Census
TCF3,Cancer Gene Census
TCF7L2,Cancer Gene Census
TCL1A,Cancer Gene Census
TCL6,Cancer Gene Census
TFE3,Cancer Gene Census
TFEB,Cancer Gene Census
TFG,Cancer Gene Census
TFPT,Cancer Gene Census
TFRC,Cancer Gene Census
THRAP3,Cancer Gene Census
TRIM24,Cancer Gene Census
TLX1,Cancer Gene Census
TLX3,Cancer Gene Census
TMPRSS2,Cancer Gene Census
TNFRSF14,Cancer Gene Census
TNFRSF17,Cancer Gene Census
FAS,Cancer Gene Census
TOP1,Cancer Gene Census
TPM3,Cancer Gene Census
TPM4,Cancer Gene Census
TPR,Cancer Gene Census
TRA,Cancer Gene Census
TRB,Cancer Gene Census
TRD,Cancer Gene Census
TRIM27,Cancer Gene Census
TRIM33,Cancer Gene Census
TRIP11,Cancer Gene Census
TRRAP,Cancer Gene Census
TTL,Cancer Gene Census
UBR5,Cancer Gene Census
USP6,Cancer Gene Census
VTI1A,Cancer Gene Census
WAS,Cancer Gene Census
WHSC1,Cancer Gene Census
WHSC1L1,Cancer Gene Census
WIF1,Cancer Gene Census
WRN,Cancer Gene Census
WWTR1,Cancer Gene Census
XPA,Cancer Gene Census
XPC,Cancer Gene Census
XPO1,Cancer Gene Census
YWHAE,Cancer Gene Census
ZBTB16,Cancer Gene Census
ZMYM2,Cancer Gene Census
PATZ1,Cancer Gene Census
ZNF331,Cancer Gene Census
ZNF384,Cancer Gene Census
ZNF521,Cancer Gene Census
CNBP,Cancer Gene Census
ZRSR2,Cancer Gene Census
